platform,contest_name,start_date,duration_min
LeetCode,Biweekly Contest 152,2025-03-15 20:00:00,90.0
LeetCode,Weekly Contest 440,2025-03-09 08:00:00,90.0
LeetCode,Weekly Contest 439,2025-03-02 08:00:00,90.0
LeetCode,Biweekly Contest 151,2025-03-01 20:00:00,90.0
LeetCode,Weekly Contest 438,2025-02-23 08:00:00,90.0
LeetCode,Weekly Contest 437,2025-02-16 08:00:00,90.0
LeetCode,Biweekly Contest 150,2025-02-15 20:00:00,90.0
LeetCode,Weekly Contest 436,2025-02-09 08:00:00,90.0
LeetCode,Weekly Contest 435,2025-02-02 08:00:00,90.0
LeetCode,Biweekly Contest 149,2025-02-01 20:00:00,90.0
LeetCode,Weekly Contest 434,2025-01-26 08:00:00,90.0
LeetCode,Weekly Contest 433,2025-01-19 08:00:00,90.0
LeetCode,Biweekly Contest 148,2025-01-18 20:00:00,90.0
LeetCode,Weekly Contest 432,2025-01-12 08:00:00,90.0
LeetCode,Weekly Contest 431,2025-01-05 08:00:00,90.0
LeetCode,Biweekly Contest 147,2025-01-04 20:00:00,90.0
LeetCode,Weekly Contest 430,2024-12-29 08:00:00,90.0
LeetCode,Weekly Contest 429,2024-12-22 08:00:00,90.0
LeetCode,Biweekly Contest 146,2024-12-21 20:00:00,90.0
LeetCode,Weekly Contest 428,2024-12-15 08:00:00,90.0
LeetCode,Weekly Contest 427,2024-12-08 08:00:00,90.0
LeetCode,Biweekly Contest 145,2024-12-07 20:00:00,90.0
LeetCode,Weekly Contest 426,2024-12-01 08:00:00,90.0
LeetCode,Weekly Contest 425,2024-11-24 08:00:00,90.0
LeetCode,Biweekly Contest 144,2024-11-23 20:00:00,90.0
LeetCode,Weekly Contest 424,2024-11-17 08:00:00,90.0
LeetCode,Weekly Contest 423,2024-11-10 08:00:00,90.0
LeetCode,Biweekly Contest 143,2024-11-09 20:00:00,90.0
LeetCode,Weekly Contest 422,2024-11-03 08:00:00,90.0
LeetCode,Weekly Contest 421,2024-10-27 08:00:00,90.0
LeetCode,Biweekly Contest 142,2024-10-26 20:00:00,90.0
LeetCode,Weekly Contest 420,2024-10-20 08:00:00,90.0
LeetCode,Weekly Contest 419,2024-10-13 08:00:00,90.0
LeetCode,Biweekly Contest 141,2024-10-12 20:00:00,90.0
LeetCode,Weekly Contest 418,2024-10-06 08:00:00,90.0
LeetCode,Weekly Contest 417,2024-09-29 08:00:00,90.0
LeetCode,Biweekly Contest 140,2024-09-28 20:00:00,90.0
LeetCode,Weekly Contest 416,2024-09-22 08:00:00,90.0
LeetCode,Weekly Contest 415,2024-09-15 08:00:00,90.0
LeetCode,Biweekly Contest 139,2024-09-14 20:00:00,90.0
LeetCode,Weekly Contest 414,2024-09-08 08:00:00,90.0
LeetCode,Weekly Contest 413,2024-09-01 08:00:00,90.0
LeetCode,Biweekly Contest 138,2024-08-31 20:00:00,90.0
LeetCode,Weekly Contest 412,2024-08-25 08:00:00,90.0
LeetCode,Weekly Contest 411,2024-08-18 08:00:00,90.0
LeetCode,Biweekly Contest 137,2024-08-17 20:00:00,90.0
LeetCode,Weekly Contest 410,2024-08-11 08:00:00,90.0
LeetCode,Weekly Contest 409,2024-08-04 08:00:00,90.0
LeetCode,Biweekly Contest 136,2024-08-03 20:00:00,90.0
LeetCode,Weekly Contest 408,2024-07-28 08:00:00,90.0
LeetCode,Weekly Contest 407,2024-07-21 08:00:00,90.0
LeetCode,Biweekly Contest 135,2024-07-20 20:00:00,90.0
LeetCode,Weekly Contest 406,2024-07-14 08:00:00,90.0
LeetCode,Weekly Contest 405,2024-07-07 08:00:00,90.0
LeetCode,Biweekly Contest 134,2024-07-06 20:00:00,90.0
LeetCode,Weekly Contest 404,2024-06-30 08:00:00,90.0
LeetCode,Weekly Contest 403,2024-06-23 08:00:00,90.0
LeetCode,Biweekly Contest 133,2024-06-22 20:00:00,90.0
LeetCode,Weekly Contest 402,2024-06-16 08:00:00,90.0
LeetCode,Weekly Contest 401,2024-06-09 08:00:00,90.0
LeetCode,Biweekly Contest 132,2024-06-08 20:00:00,90.0
LeetCode,Weekly Contest 400,2024-06-02 08:00:00,90.0
LeetCode,Weekly Contest 399,2024-05-26 08:00:00,90.0
LeetCode,Biweekly Contest 131,2024-05-25 20:00:00,90.0
LeetCode,Weekly Contest 398,2024-05-19 08:00:00,90.0
LeetCode,Weekly Contest 397,2024-05-12 08:00:00,90.0
LeetCode,Biweekly Contest 130,2024-05-11 20:00:00,90.0
LeetCode,Weekly Contest 396,2024-05-05 08:00:00,90.0
